folioURN,Siglum,Sequence,RV,MS,CodexURN,defaultImage
urn:cite:botcar:CatesbyHS232.012,CatesbyHS232,14,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,
urn:cite:botcar:CatesbyHS232.013,CatesbyHS232,15,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,
urn:cite:botcar:CatesbyHS232.014,CatesbyHS232,16,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_014_0642-corr
urn:cite:botcar:CatesbyHS232.015,CatesbyHS232,17,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,
urn:cite:botcar:CatesbyHS232.016,CatesbyHS232,18,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,
urn:cite:botcar:CatesbyHS232.017,CatesbyHS232,19,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,
urn:cite:botcar:CatesbyHS232.018,CatesbyHS232,20,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,
urn:cite:botcar:CatesbyHS232.019,CatesbyHS232,21,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,
urn:cite:botcar:CatesbyHS232.020,CatesbyHS232,22,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,
urn:cite:botcar:CatesbyHS232.021,CatesbyHS232,23,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,
urn:cite:botcar:CatesbyHS232.022,CatesbyHS232,24,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,
urn:cite:botcar:CatesbyHS232.023,CatesbyHS232,25,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,
urn:cite:botcar:CatesbyHS232.024,CatesbyHS232,26,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,
urn:cite:botcar:CatesbyHS232.025,CatesbyHS232,27,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,
urn:cite:botcar:CatesbyHS232.026,CatesbyHS232,28,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,
urn:cite:botcar:CatesbyHS232.027,CatesbyHS232,29,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,
urn:cite:botcar:CatesbyHS232.028,CatesbyHS232,30,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_028_0631-corr
urn:cite:botcar:CatesbyHS232.029,CatesbyHS232,31,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_029_0624-corr
urn:cite:botcar:CatesbyHS232.030,CatesbyHS232,32,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_030_0623-corr
urn:cite:botcar:CatesbyHS232.031,CatesbyHS232,33,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_031_0630-corr
urn:cite:botcar:CatesbyHS232.032,CatesbyHS232,34,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_032_0629-corr
urn:cite:botcar:CatesbyHS232.033,CatesbyHS232,35,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,
urn:cite:botcar:CatesbyHS232.034,CatesbyHS232,36,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_034_0634-corr
urn:cite:botcar:CatesbyHS232.035,CatesbyHS232,37,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_035_0620-corr
urn:cite:botcar:CatesbyHS232.036,CatesbyHS232,38,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_036_0622-corr
urn:cite:botcar:CatesbyHS232.037,CatesbyHS232,39,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_037_0618-corr
urn:cite:botcar:CatesbyHS232.038,CatesbyHS232,40,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_038_0614-corr
urn:cite:botcar:CatesbyHS232.039,CatesbyHS232,41,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_039_0616-corr
urn:cite:botcar:CatesbyHS232.040,CatesbyHS232,42,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_040_0621-corr
urn:cite:botcar:CatesbyHS232.041,CatesbyHS232,43,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_041_0617-corr
urn:cite:botcar:CatesbyHS232.042,CatesbyHS232,44,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_042_0619-corr
urn:cite:botcar:CatesbyHS232.043,CatesbyHS232,45,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_043_0615-corr
urn:cite:botcar:CatesbyHS232.044,CatesbyHS232,46,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_044_0610-corr
urn:cite:botcar:CatesbyHS232.045,CatesbyHS232,47,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,
urn:cite:botcar:CatesbyHS232.046,CatesbyHS232,48,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_046_0612-corr
urn:cite:botcar:CatesbyHS232.047,CatesbyHS232,49,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_047_0613-corr
urn:cite:botcar:CatesbyHS232.048,CatesbyHS232,50,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_048_0608-corr
urn:cite:botcar:CatesbyHS232.049,CatesbyHS232,51,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_049_0609-corr
urn:cite:botcar:CatesbyHS232.050,CatesbyHS232,52,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_050_0605-corr
urn:cite:botcar:CatesbyHS232.051,CatesbyHS232,53,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_051_0606-corr
urn:cite:botcar:CatesbyHS232.052,CatesbyHS232,54,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_052_0604-corr
urn:cite:botcar:CatesbyHS232.053,CatesbyHS232,55,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_053_0607-corr
urn:cite:botcar:CatesbyHS232.054,CatesbyHS232,56,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_054_0603-corr
urn:cite:botcar:CatesbyHS232.055,CatesbyHS232,57,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_055_0601-corr
urn:cite:botcar:CatesbyHS232.056,CatesbyHS232,58,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_056_0602-corr
urn:cite:botcar:CatesbyHS232.057,CatesbyHS232,59,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_057_0599-corr
urn:cite:botcar:CatesbyHS232.058,CatesbyHS232,60,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_058_0600-corr
urn:cite:botcar:CatesbyHS232.059,CatesbyHS232,61,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_059_0598-corr
urn:cite:botcar:CatesbyHS232.060,CatesbyHS232,62,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_060_0597-corr
urn:cite:botcar:CatesbyHS232.061,CatesbyHS232,63,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_061_0596-corr
urn:cite:botcar:CatesbyHS232.062,CatesbyHS232,64,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_062_0595-corr
urn:cite:botcar:CatesbyHS232.063,CatesbyHS232,65,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_063_0593-corr
urn:cite:botcar:CatesbyHS232.064,CatesbyHS232,66,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_064_0594-corr
urn:cite:botcar:CatesbyHS232.065,CatesbyHS232,67,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_065_0592-corr
urn:cite:botcar:CatesbyHS232.066,CatesbyHS232,68,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_066_0590-corr
urn:cite:botcar:CatesbyHS232.067,CatesbyHS232,69,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_067_0591-corr
urn:cite:botcar:CatesbyHS232.068,CatesbyHS232,70,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_068_0589-corr
urn:cite:botcar:CatesbyHS232.069,CatesbyHS232,71,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_069_0588-corr
urn:cite:botcar:CatesbyHS232.070,CatesbyHS232,72,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_070_0586-corr
urn:cite:botcar:CatesbyHS232.071,CatesbyHS232,73,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_071_0587-corr
urn:cite:botcar:CatesbyHS232.072,CatesbyHS232,74,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_072_0584-corr
urn:cite:botcar:CatesbyHS232.073,CatesbyHS232,75,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_073_0585-corr
urn:cite:botcar:CatesbyHS232.074,CatesbyHS232,76,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_074_0580-corr
urn:cite:botcar:CatesbyHS232.075,CatesbyHS232,77,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_075_0581-corr
urn:cite:botcar:CatesbyHS232.076,CatesbyHS232,78,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_076_0583-corr
urn:cite:botcar:CatesbyHS232.077,CatesbyHS232,79,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_077_0582-corr
urn:cite:botcar:CatesbyHS232.078,CatesbyHS232,80,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_078_0576-corr
urn:cite:botcar:CatesbyHS232.079,CatesbyHS232,81,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_079_0573-corr
urn:cite:botcar:CatesbyHS232.080,CatesbyHS232,82,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_080_0577-corr
urn:cite:botcar:CatesbyHS232.081,CatesbyHS232,83,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,
urn:cite:botcar:CatesbyHS232.082,CatesbyHS232,84,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_082_0575-corr
urn:cite:botcar:CatesbyHS232.083,CatesbyHS232,85,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_083_0572-corr
urn:cite:botcar:CatesbyHS232.084,CatesbyHS232,86,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_084_0574-corr
urn:cite:botcar:CatesbyHS232.085,CatesbyHS232,87,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_085_0578-corr
urn:cite:botcar:CatesbyHS232.086,CatesbyHS232,88,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_086_0564-corr
urn:cite:botcar:CatesbyHS232.087,CatesbyHS232,89,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_087_0569-corr
urn:cite:botcar:CatesbyHS232.088,CatesbyHS232,90,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_088_0566-corr
urn:cite:botcar:CatesbyHS232.089,CatesbyHS232,91,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_089_0568-corr
urn:cite:botcar:CatesbyHS232.090,CatesbyHS232,92,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,
urn:cite:botcar:CatesbyHS232.091,CatesbyHS232,93,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_091_0565-corr
urn:cite:botcar:CatesbyHS232.092,CatesbyHS232,94,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_092_0570-corr
urn:cite:botcar:CatesbyHS232.093,CatesbyHS232,95,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_093_0567-corr
urn:cite:botcar:CatesbyHS232.094,CatesbyHS232,96,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_094_0560-corr
urn:cite:botcar:CatesbyHS232.095,CatesbyHS232,97,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,
urn:cite:botcar:CatesbyHS232.096,CatesbyHS232,98,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_096_0562-corr
urn:cite:botcar:CatesbyHS232.097,CatesbyHS232,99,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_097_0563-corr
urn:cite:botcar:CatesbyHS232.098,CatesbyHS232,100,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_098_0558-corr
urn:cite:botcar:CatesbyHS232.099,CatesbyHS232,101,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_099_0554-corr
urn:cite:botcar:CatesbyHS232.100,CatesbyHS232,102,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_100_0555-corr
urn:cite:botcar:CatesbyHS232.101,CatesbyHS232,103,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_101_0553-corr
urn:cite:botcar:CatesbyHS232.102,CatesbyHS232,104,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_102_0556-corr
urn:cite:botcar:CatesbyHS232.103,CatesbyHS232,105,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_103_0552-corr
urn:cite:botcar:CatesbyHS232.104,CatesbyHS232,106,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_104_0557-corr
urn:cite:botcar:CatesbyHS232.105,CatesbyHS232,107,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_105_0548-corr
urn:cite:botcar:CatesbyHS232.106,CatesbyHS232,108,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_106_0546-corr
urn:cite:botcar:CatesbyHS232.107,CatesbyHS232,109,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_107_0547-corr
